iter	MultiClass
0	1.085795963
1	1.074882847
2	1.064185031
3	1.055058889
4	1.047031388
5	1.038392079
6	1.030867082
7	1.023602955
8	1.017335363
9	1.010721235
10	1.005059387
11	0.9998623434
12	0.9947466992
13	0.9895380852
14	0.9854456557
15	0.9819299352
16	0.9783803729
17	0.9751724845
18	0.9712869994
19	0.9682555331
20	0.9647654941
21	0.9624886171
22	0.9598734683
23	0.9565313493
24	0.954334298
25	0.9524191396
26	0.9500189401
27	0.9480391971
28	0.9465743168
29	0.9449023479
30	0.9433239917
31	0.9418405136
32	0.940504125
33	0.9391260036
34	0.9378084433
35	0.9362342052
36	0.9352716214
37	0.9342702305
38	0.9330406433
39	0.9313278565
40	0.9298132701
41	0.9288797055
42	0.9274359806
43	0.9260612584
44	0.9252284768
45	0.9241897791
46	0.9225640984
47	0.921354168
48	0.9196879697
49	0.9186478771
50	0.917826373
51	0.9164531841
52	0.9154221533
53	0.9142492227
54	0.9131307224
55	0.9121680189
56	0.9106354627
57	0.9095723495
58	0.9087239067
59	0.9077913612
60	0.9069028125
61	0.9061234204
62	0.9054426733
63	0.9043621304
64	0.9031664988
65	0.9018441905
66	0.9010031699
67	0.8999124958
68	0.8986409373
69	0.898140016
70	0.8972250103
71	0.896429664
72	0.8960020063
73	0.894962171
74	0.8942392928
75	0.8934407226
76	0.8927120095
77	0.8918689554
78	0.8912358524
79	0.8907094115
80	0.8901450185
81	0.8887504886
82	0.8877512841
83	0.8869650011
84	0.886302901
85	0.8852236945
86	0.8845169776
87	0.8838776677
88	0.8831177722
89	0.8820555463
90	0.8814809592
91	0.8801391987
92	0.8797275287
93	0.8784259717
94	0.8777203316
95	0.8770399256
96	0.8761828615
97	0.8751106067
98	0.8744189063
99	0.8734768339
100	0.8730483765
101	0.8714484623
102	0.8707931261
103	0.8695836406
104	0.8684948931
105	0.8674977732
106	0.8670071713
107	0.8664259098
108	0.8658705314
109	0.8652816377
110	0.8647304035
111	0.8642314024
112	0.8635844812
113	0.8627788153
114	0.8621977758
115	0.861818023
116	0.8612540848
117	0.8605344494
118	0.8597576611
119	0.8590816971
120	0.8581681081
121	0.8577707519
122	0.8571490113
123	0.8565728732
124	0.8556920194
125	0.8552102838
126	0.8547068997
127	0.8537883186
128	0.8533116806
129	0.8525753784
130	0.8523075708
131	0.8517110275
132	0.8503569279
133	0.8495258707
134	0.8491107363
135	0.848492392
136	0.8480847498
137	0.846793533
138	0.8455432407
139	0.8450019064
140	0.8442032622
141	0.8433377066
142	0.8425582446
143	0.8417436522
