iter	Passed	Remaining
0	144	72308
1	149	37235
2	154	25531
3	158	19641
4	160	15919
5	166	13712
6	172	12127
7	177	10941
8	183	10020
9	188	9221
10	192	8560
11	198	8060
12	203	7604
13	207	7201
14	212	6876
15	217	6567
16	221	6292
17	226	6070
18	231	5854
19	235	5653
20	240	5479
21	245	5342
22	249	5184
23	254	5045
24	259	4925
25	263	4807
26	269	4716
27	274	4631
28	279	4547
29	284	4454
30	288	4363
31	292	4282
32	297	4204
33	301	4128
34	307	4086
35	313	4039
36	319	3996
37	325	3953
38	331	3921
39	337	3883
40	343	3844
41	349	3815
42	355	3782
43	361	3750
44	367	3717
45	374	3691
46	380	3664
47	387	3646
48	393	3619
49	399	3599
50	406	3576
51	412	3554
52	419	3536
53	426	3523
54	433	3505
55	439	3488
56	447	3476
57	453	3459
58	460	3441
59	467	3431
60	474	3415
61	481	3400
62	487	3382
63	493	3360
64	499	3342
65	504	3318
66	510	3296
67	515	3276
68	521	3255
69	526	3234
70	532	3215
71	539	3204
72	546	3199
73	553	3187
74	558	3166
75	565	3155
76	573	3147
77	580	3142
78	586	3125
79	593	3113
80	598	3098
81	605	3084
82	611	3070
83	616	3055
84	622	3041
85	628	3027
86	634	3013
87	641	3001
88	646	2986
89	652	2973
90	658	2960
91	664	2947
92	670	2933
93	675	2919
94	681	2905
95	688	2898
96	695	2891
97	702	2881
98	708	2869
99	714	2857
100	720	2846
101	725	2832
102	732	2823
103	740	2818
104	748	2813
105	755	2808
106	762	2800
107	770	2794
108	776	2785
109	784	2779
110	790	2769
111	796	2758
112	802	2747
113	808	2737
114	814	2727
115	820	2716
116	826	2705
117	833	2697
118	839	2686
119	844	2675
120	852	2670
121	859	2663
122	866	2654
123	873	2649
124	881	2644
125	888	2638
126	896	2634
127	905	2630
128	913	2626
129	920	2621
130	928	2616
131	936	2610
132	943	2603
133	949	2593
134	955	2583
135	962	2574
136	968	2564
137	974	2556
138	980	2546
139	986	2536
140	992	2527
141	998	2517
142	1004	2507
143	1010	2498
144	1016	2489
145	1024	2483
146	1030	2474
147	1036	2464
148	1042	2455
149	1050	2450
150	1058	2445
151	1065	2440
152	1073	2435
153	1081	2429
154	1089	2424
155	1096	2417
156	1105	2414
157	1112	2407
158	1119	2401
159	1127	2395
160	1135	2390
161	1142	2384
162	1149	2375
163	1155	2366
164	1161	2357
165	1167	2349
166	1175	2344
167	1182	2337
168	1190	2331
169	1198	2326
170	1204	2317
171	1210	2308
172	1216	2300
173	1222	2291
174	1228	2282
175	1234	2273
176	1240	2264
177	1248	2258
178	1256	2252
179	1264	2247
180	1271	2240
181	1278	2233
182	1284	2224
183	1290	2215
184	1296	2207
185	1302	2198
186	1309	2191
187	1316	2185
188	1323	2178
189	1333	2175
190	1340	2169
191	1350	2165
192	1359	2162
193	1367	2157
194	1375	2151
195	1383	2145
196	1391	2139
197	1398	2133
198	1406	2126
199	1413	2120
200	1421	2114
201	1428	2107
202	1436	2102
203	1444	2095
204	1451	2089
205	1459	2083
206	1467	2077
207	1476	2072
208	1483	2065
209	1491	2060
210	1500	2054
211	1508	2048
212	1516	2042
213	1524	2036
214	1531	2030
215	1538	2023
216	1546	2016
217	1554	2010
218	1561	2003
219	1568	1996
220	1575	1989
221	1583	1983
222	1591	1976
223	1598	1969
224	1606	1963
225	1614	1956
226	1621	1949
227	1628	1942
228	1636	1936
229	1643	1929
230	1651	1922
231	1658	1916
232	1666	1909
233	1674	1903
234	1682	1897
235	1690	1890
236	1697	1883
237	1705	1876
238	1712	1870
239	1719	1863
240	1727	1856
241	1734	1849
242	1742	1842
243	1749	1836
244	1757	1829
245	1765	1822
246	1773	1816
247	1780	1809
248	1789	1804
249	1798	1798
250	1806	1792
251	1814	1785
252	1822	1779
253	1830	1772
254	1838	1766
255	1845	1759
256	1852	1751
257	1860	1745
258	1868	1738
259	1875	1730
260	1882	1723
261	1889	1716
262	1897	1709
263	1905	1703
264	1913	1696
265	1921	1690
266	1929	1683
267	1936	1676
268	1944	1669
269	1952	1662
270	1959	1655
271	1967	1649
272	1976	1643
273	1983	1635
274	1991	1629
275	1998	1622
276	2005	1614
277	2012	1607
278	2021	1600
279	2029	1594
280	2036	1587
281	2043	1579
282	2051	1572
283	2058	1565
284	2066	1558
285	2073	1551
286	2081	1544
287	2088	1537
288	2096	1530
289	2102	1522
290	2109	1515
291	2117	1508
292	2123	1500
293	2131	1493
294	2139	1486
295	2148	1480
296	2166	1481
297	2187	1482
298	2210	1485
299	2233	1489
300	2242	1482
301	2256	1479
302	2278	1481
303	2286	1474
304	2297	1468
305	2306	1462
306	2332	1466
307	2340	1458
308	2348	1451
309	2355	1443
310	2364	1436
311	2372	1429
312	2380	1422
313	2388	1414
314	2397	1408
315	2406	1401
316	2414	1393
317	2422	1386
318	2430	1379
319	2439	1372
320	2446	1364
321	2454	1356
322	2461	1348
323	2468	1341
324	2475	1333
325	2483	1325
326	2491	1318
327	2499	1310
328	2506	1302
329	2513	1294
330	2520	1286
331	2526	1278
332	2533	1270
333	2539	1262
334	2545	1253
335	2552	1245
336	2558	1237
337	2565	1229
338	2571	1221
339	2577	1212
340	2584	1204
341	2591	1197
342	2598	1189
343	2605	1181
344	2612	1173
345	2618	1165
346	2624	1157
347	2630	1148
348	2636	1140
349	2644	1133
350	2650	1125
351	2656	1117
352	2662	1108
353	2669	1100
354	2676	1093
355	2683	1085
356	2688	1077
357	2696	1069
358	2704	1062
359	2712	1054
360	2721	1047
361	2729	1040
362	2738	1033
363	2747	1026
364	2755	1019
365	2763	1011
366	2771	1004
367	2778	996
368	2786	989
369	2793	981
370	2800	973
371	2806	965
372	2812	957
373	2820	950
374	2826	942
375	2832	934
376	2840	926
377	2846	918
378	2852	910
379	2858	902
380	2865	895
381	2873	887
382	2879	879
383	2887	872
384	2895	864
385	2902	857
386	2910	849
387	2917	842
388	2925	834
389	2932	827
390	2939	819
391	2946	811
392	2953	804
393	2961	796
394	2967	788
395	2974	781
396	2982	773
397	2989	766
398	2997	758
399	3003	750
400	3010	743
401	3017	735
402	3024	728
403	3032	720
404	3042	713
405	3049	706
406	3057	698
407	3064	691
408	3072	683
409	3079	676
410	3087	668
411	3095	661
412	3102	653
413	3110	646
414	3117	638
415	3125	631
416	3132	623
417	3140	616
418	3148	608
419	3156	601
420	3164	593
421	3172	586
422	3180	578
423	3188	571
424	3196	564
425	3205	556
426	3213	549
427	3221	541
428	3229	534
429	3238	527
430	3246	519
431	3254	512
432	3261	504
433	3269	497
434	3277	489
435	3284	482
436	3292	474
437	3300	467
438	3308	459
439	3315	452
440	3322	444
441	3330	437
442	3338	429
443	3346	422
444	3354	414
445	3361	407
446	3369	399
447	3376	391
448	3385	384
449	3392	376
450	3400	369
451	3407	361
452	3415	354
453	3423	346
454	3431	339
455	3439	331
456	3448	324
457	3455	316
458	3464	309
459	3473	302
460	3481	294
461	3488	286
462	3496	279
463	3503	271
464	3510	264
465	3518	256
466	3525	249
467	3532	241
468	3540	233
469	3546	226
470	3554	218
471	3561	211
472	3568	203
473	3576	196
474	3583	188
475	3591	181
476	3599	173
477	3607	166
478	3615	158
479	3623	150
480	3631	143
481	3639	135
482	3648	128
483	3656	120
484	3664	113
485	3673	105
486	3681	98
487	3689	90
488	3697	83
489	3705	75
490	3712	68
491	3720	60
492	3728	52
493	3736	45
494	3743	37
495	3751	30
496	3759	22
497	3766	15
498	3773	7
499	3780	0
